0, 49, 34
99.901, 50, 34
382.466, 52, 36
605.231, 54, 37
828.526, 56, 38
1188.39, 59, 40
1546.44, 62.3333, 41.3333
1904.89, 65.6667, 42.6667
2263.09, 69, 44
2517.33, 71.5, 44.5
2772.11, 74, 45
3161.28, 77.6667, 46.3333
3551.43, 81.3333, 47.6667
3941, 85, 49
4244.68, 88, 49.5
4547.95, 91, 50
4946.97, 95, 50
5250.74, 98, 50.5
5553.98, 101, 51
5953.83, 105, 51
6353.68, 109, 51
6607.75, 111.5, 50.5
6862.51, 114, 50
7323.12, 118.5, 49
7783.63, 123, 48
8074.38, 125.5, 46.5
8365.91, 128, 45
8620.44, 130.5, 44.5
8874.92, 133, 44
9214.57, 136.333, 43.3333
9553.82, 139.667, 42.6667
9893.59, 143, 42
10148, 145.5, 41.5
10402.8, 148, 41
10656.8, 150.5, 40.5
10910.8, 153, 40
11214.8, 156, 39.5
11518.3, 159, 39
11930.2, 163, 38
12302.4, 166.667, 37.3333
12674.7, 170.333, 36.6667
13046.8, 174, 36
13346.1, 177, 36
13645.3, 180, 36
14045.1, 184, 36
14412.6, 187.667, 36.3333
14780.5, 191.333, 36.6667
15148, 195, 37
15447.3, 198, 37
15746.8, 201, 37
16062.2, 204, 38
16378, 207, 39
16750.3, 210.667, 39.6667
17122.6, 214.333, 40.3333
17494.7, 218, 41
17854.3, 221, 43
18169.7, 224, 44
18485.2, 227, 45
18708.5, 229, 46
19024.5, 230, 49
19210.6, 231, 50
19570.4, 233, 53
19944.5, 233, 54
20243.7, 233, 57
20554.7, 233, 60
20653.9, 233, 61
20763.1, 233, 62
20962.3, 233, 64
21322, 231, 67
21603.9, 229, 69
21919.4, 228, 72
22142.6, 226, 73
22502.2, 224, 76
22860.2, 222, 77
23284.4, 219, 80
23719.1, 218, 81
24143.3, 215, 84
24578.4, 213, 86
24801.5, 212, 88
25034.8, 211, 88
25176, 210, 89
25492.2, 209, 92
25665.2, 209, 93
26025.4, 207, 96
26402.7, 205, 99
26762.8, 202, 101
27140.1, 200, 104
27500.3, 198, 107
27873.5, 197, 109
28320.7, 195, 113
28773.7, 193, 114
29093.8, 191, 116.5
29420.3, 189, 119
29619.5, 189, 121
29901.9, 187, 123
30183.8, 185, 125
30595.7, 184, 129
30895.6, 184, 132
30995.6, 184, 133
31407.4, 185, 137
31826.8, 185, 137
32126, 185, 140
32435, 185, 141
32534.2, 185, 142
32733.3, 185, 144
32832.6, 185, 145
32932.3, 185, 146
33132.2, 185, 148
33447.9, 186, 151
33670.9, 187, 153
33770.6, 188, 153
34958.4, 192.6, 151.2
35451.9, 197.2, 149.4
35950.3, 201.8, 147.6
36443.4, 206.4, 145.8
36941.7, 211, 144
37434.8, 215.6, 142.2
37934.8, 220.2, 140.4
38428, 224.8, 138.6
38924.6, 229.4, 136.8
39417.7, 234, 135
39917.7, 238.6, 133.2
40410.9, 243.2, 131.4
40909.5, 247.8, 129.6
41402.7, 252.4, 127.8
41900.7, 257, 126
42393.8, 261.6, 124.2
42894.2, 266.2, 122.4
43387.4, 270.8, 120.6
43886.6, 275.4, 118.8
44379.7, 280, 117
44878.9, 284.6, 115.2
45372, 289.2, 113.4
45887, 293.8, 111.6
46380.1, 298.4, 109.8
46878.5, 303, 108
47371.7, 307.6, 106.2
47873.5, 312.2, 104.4
48366.6, 316.8, 102.6
48867.4, 321.4, 100.8
49360.6, 326, 99
49860.5, 330.6, 97.2
50353.7, 335.2, 95.4
50857.4, 339.8, 93.6
51350.6, 344.4, 91.8
51848, 349, 90
52341.2, 353.6, 88.2
52840.7, 358.2, 86.4
53333.9, 362.8, 84.6
53832.8, 367.4, 82.8
54326, 372, 81
54838.4, 376.6, 79.2
55331.6, 381.2, 77.4
55827.4, 385.8, 75.6
56320.5, 390.4, 73.8
56822.6, 395, 72
57315.9, 399.6, 70.2
57814.9, 404.2, 68.4
58308.1, 408.8, 66.6
58807.2, 413.4, 64.8
59300.4, 418, 63
59801.5, 422.6, 61.2
60294.8, 427.2, 59.4
60794.2, 431.8, 57.6
61287.3, 436.4, 55.8
61788.1, 441, 54
62281.3, 445.6, 52.2
62780.5, 450.2, 50.4
63273.7, 454.8, 48.6
63772.4, 459.4, 46.8
64265.5, 464, 45
